"","Estimate","Std..Error","df","t.value","Pr...t..","Model_ID"
"X.Intercept.",130.366666666667,37.3346899385102,39.5086335369623,3.49183740058854,0.00119634778391066,"HEMI1_AP10Y"
"AP10Y",7.45333333333333,0.635204828478358,88.0000002576317,11.7337479174834,1.08696139025783e-19,"HEMI1_AP10Y"
"TREATMENTGROUP",80.9492424242426,59.031327970932,39.5086335486782,1.37129292541247,0.178022571085861,"HEMI1_AP10Y"
"AP10Y.TREATMENTGROUP",-5.31424242424242,1.0043470193641,88.0000002458996,-5.29124129586916,8.80282282847287e-07,"HEMI1_AP10Y"
"X.Intercept..1",801.166666666667,37.3346899385102,39.5086335376627,21.4590416576695,2.20340297679768e-23,"HEMI1_AP100Y"
"AP100Y",-7.45333333333333,0.635204828478358,88.0000002577202,-11.7337479174834,1.0869613902415e-19,"HEMI1_AP100Y"
"TREATMENTGROUP.1",-397.332575757576,59.031327970932,39.5086335489831,-6.73087645856838,4.72461319648764e-08,"HEMI1_AP100Y"
"AP100Y.TREATMENTGROUP",5.31424242424243,1.0043470193641,88.0000002462426,5.29124129586916,8.80282282841602e-07,"HEMI1_AP100Y"
"X.Intercept..2",148.762121212121,34.9171721322105,23.0739347441403,4.26042866956259,0.000292493983399183,"HEMI2_AP10Y"
"AP10Y.1",6.76621212121212,0.506034397587553,88.0000000391931,13.3710517574874,6.59431409293279e-23,"HEMI2_AP10Y"
"TREATMENTGROUP.2",74.4946969696969,55.2088966949716,23.0739347441174,1.34932413848585,0.190325146149774,"HEMI2_AP10Y"
"AP10Y.TREATMENTGROUP.1",-7.0580303030303,0.800110635383941,88.0000000360008,-8.82131794141623,9.57546353649617e-14,"HEMI2_AP10Y"
"X.Intercept..3",757.721212121213,34.9171721322105,23.0739347484072,21.7005320262527,7.48513249784218e-17,"HEMI2_AP100Y"
"AP100Y.1",-6.76621212121212,0.506034397587553,88.0000000348042,-13.3710517574874,6.59431409939436e-23,"HEMI2_AP100Y"
"TREATMENTGROUP.3",-560.728030303031,55.2088966949716,23.0739347481005,-10.1564795507696,5.50853873715266e-10,"HEMI2_AP100Y"
"AP100Y.TREATMENTGROUP.1",7.05803030303031,0.800110635383942,88.0000000326117,8.82131794141623,9.57546353924689e-14,"HEMI2_AP100Y"
